station_id,freeway,direction,abs_postmile,latitude,longitude,lanes,type,type_desc,name
715898,I-5,N,117.313,33.880069,-118.021261,3,ML,Mainline,PHOEBE
715900,I-5,S,117.63,33.882892,-118.026822,1,OR,On-Ramp,VALLEY VIEW
715901,I-5,N,117.743,33.8834,-118.027451,1,OR,On-Ramp,VALLEY VIEW
715903,I-5,N,118.193,33.886992,-118.034125,1,OR,On-Ramp,ALONDRA
715904,I-5,S,118.84,33.892489,-118.044573,1,OR,On-Ramp,CARMENITA
715905,I-5,N,119.153,33.894587,-118.048098,1,OR,On-Ramp,CARMENITA
715906,I-5,S,119.85,33.900669,-118.059422,1,OR,On-Ramp,ROSECRANS
715907,I-5,S,120.19,33.903961,-118.064046,1,OR,On-Ramp,FIRESTONE
715908,I-5,S,120.85,33.911074,-118.071686,1,OR,On-Ramp,SAN ANTONIO/NORWALK
715910,I-5,N,121.213,33.913564,-118.075867,1,OR,On-Ramp,NORWALK SB
715911,I-5,S,121.46,33.916643,-118.079557,1,OR,On-Ramp,IMPERIAL
715912,I-5,N,121.593,33.917571,-118.080056,1,OR,On-Ramp,IMPERIAL
715913,I-5,S,121.79,33.920763,-118.082501,1,FR,Off-Ramp,PIONEER
715915,I-5,N,122.133,33.924353,-118.084803,3,ML,Mainline,TINA
715916,I-5,S,122.07,33.924281,-118.084952,3,ML,Mainline,TINA
715918,I-5,N,122.833,33.93311,-118.091005,3,ML,Mainline,ORR - DAY
715920,I-5,S,123.21,33.938544,-118.094941,4,ML,Mainline,S OF 605
715923,I-5,S,124.78,33.956897,-118.110532,1,OR,On-Ramp,LAKEWOOD NB
715924,I-5,N,124.903,33.957583,-118.111199,1,OR,On-Ramp,LAKEWOOD NB
715925,I-5,S,124.92,33.958225,-118.11239,1,OR,On-Ramp,LAKEWOOD SB
715926,I-5,N,125.043,33.95891,-118.113036,1,OR,On-Ramp,LAKEWOOD SB
715927,I-5,N,125.493,33.9632,-118.1189,1,OR,On-Ramp,PARAMOUNT
715928,I-5,S,125.5,33.963867,-118.11987,1,OR,On-Ramp,PARAMOUNT NB
715929,I-5,S,126.07,33.971707,-118.123095,4,ML,Mainline,GUATEMALA
715930,I-5,N,126.133,33.971763,-118.122905,4,ML,Mainline,GUATEMALA
715932,I-5,S,126.44,33.97646,-118.125953,1,OR,On-Ramp,SLAUSON
715933,I-5,N,126.963,33.981839,-118.130679,4,ML,Mainline,GREENWOOD
715935,I-5,S,127.33,33.986224,-118.136014,1,OR,On-Ramp,GARFIELD
715937,I-5,S,128.11,33.994935,-118.14469,1,OR,On-Ramp,WASHINGTON 1
715938,I-5,N,128.813,34.002541,-118.150997,4,ML,Mainline,GASPAR
715941,I-5,S,129.25,34.007592,-118.157266,1,OR,On-Ramp,ATLANTIC
715944,I-5,N,129.983,34.013676,-118.166091,4,ML,Mainline,FERRIS
715947,I-5,S,130.24,34.015325,-118.17127,3,ML,Mainline,S OF 710
715949,I-5,N,130.983,34.020076,-118.181702,1,OR,On-Ramp,DOWNEY
715950,I-5,S,131.333,34.020088,-118.189029,1,OR,On-Ramp,DITMAN
715952,I-5,S,131.71,34.020961,-118.195456,1,OR,On-Ramp,CALZONA
715953,I-5,N,131.773,34.021135,-118.195375,1,OR,On-Ramp,CALZONA
715957,I-5,S,133.06,34.029033,-118.217141,1,OR,On-Ramp,EIGHTH
715958,I-5,S,134.01,34.041407,-118.218373,1,OR,On-Ramp,FOURTH
715959,I-5,S,134.5,34.047784,-118.214638,1,OR,On-Ramp,CESAR CHAVEZ
